B19013_001E,state,county,tract,block group
54559,17,031,130300,2
61339,17,031,130300,3
72644,17,031,130300,4
61513,17,031,140100,1
77727,17,031,140100,2
47958,17,031,140200,1
47644,17,031,140200,2
79121,17,031,140200,3
66458,17,031,140301,1
52917,17,031,140301,2
48611,17,031,140302,1
71667,17,031,140302,2
100216,17,031,140302,3
61050,17,031,140400,1
103200,17,031,140400,2
117188,17,031,140400,3
118472,17,031,140400,4
66045,17,031,140400,5
87500,17,031,140500,1
64840,17,031,140500,2
78750,17,031,140500,3
77727,17,031,140601,1
-666666666,17,031,140602,1
77301,17,031,140602,2
48229,17,031,140602,3
51008,17,031,140602,4
79413,17,031,140701,1
77969,17,031,140701,2
60221,17,031,140702,1
47679,17,031,140702,2
-666666666,17,031,140702,3
94205,17,031,140702,4
85592,17,031,140800,1
97245,17,031,140800,2
69191,17,031,140800,3
117793,17,031,140800,4
76000,17,031,140800,5
85795,17,031,150200,1
83180,17,031,150200,2
38125,17,031,150200,3
109115,17,031,150200,4
-666666666,17,031,150200,5
59107,17,031,150300,1
70982,17,031,150300,2
98413,17,031,150300,3
111250,17,031,150300,4
112434,17,031,150300,5
50171,17,031,150300,6
80372,17,031,150300,7
39904,17,031,150401,1
83259,17,031,150401,2
-666666666,17,031,150401,3
90125,17,031,150401,4
90329,17,031,150402,1
62542,17,031,150402,2
92727,17,031,150402,3
87165,17,031,150501,1
145139,17,031,150501,2
113667,17,031,150501,3
71250,17,031,150502,1
68464,17,031,150502,2
68603,17,031,150502,3
-666666666,17,031,150600,1
79750,17,031,150600,2
107386,17,031,150600,3
92031,17,031,150600,4
75587,17,031,150700,1
108798,17,031,150700,2
69188,17,031,150700,3
90333,17,031,150700,4
-666666666,17,031,150800,1
86646,17,031,150800,2
73594,17,031,150800,3
-666666666,17,031,150800,4
70583,17,031,150800,5
85268,17,031,151001,1
93625,17,031,151001,2
67969,17,031,151002,1
71625,17,031,151002,2
63182,17,031,151002,3
84200,17,031,151002,4
74538,17,031,151100,1
44830,17,031,151100,2
80000,17,031,151100,3
76932,17,031,151100,4
97188,17,031,151200,1
