H1_001N,H8_001N,state,county,tract,block group
405,1543,17,031,650500,2
798,1692,17,031,650500,3
647,1850,17,031,660301,1
337,1197,17,031,660302,1
455,1433,17,031,660302,2
404,1332,17,031,660302,3
459,1587,17,031,660302,4
402,1527,17,031,660400,1
441,1302,17,031,660400,2
254,678,17,031,740100,2
289,853,17,031,828801,4
313,813,17,031,828801,5
418,1061,17,031,828802,1
411,1056,17,031,828802,2
309,856,17,031,828802,3
677,1764,17,031,828900,1
256,682,17,031,828900,2
429,919,17,031,828900,3
255,425,17,031,829000,1
220,457,17,031,829000,2
746,1754,17,031,829100,1
724,1758,17,031,829100,2
410,1066,17,031,829200,1
532,1301,17,031,829200,2
626,1610,17,031,829200,3
500,1283,17,031,829200,4
588,1548,17,031,829301,1
856,2360,17,031,829301,2
425,987,17,031,829302,1
479,1283,17,031,829302,2
493,1164,17,031,829302,3
434,1049,17,031,829401,1
503,888,17,031,829402,1
553,966,17,031,829402,2
543,1234,17,031,829402,3
916,2335,17,031,829500,1
341,790,17,031,829500,2
384,859,17,031,829500,3
1518,2693,17,031,330103,2
1851,3037,17,031,330103,3
650,1140,17,031,330200,1
1298,2862,17,031,330200,2
781,1865,17,031,340300,1
788,1838,17,031,340400,1
955,1629,17,031,340500,1
508,1151,17,031,340600,1
672,885,17,031,350100,1
1003,1343,17,031,350100,2
747,1584,17,031,640600,3
700,1821,17,031,640500,2
383,927,17,031,640600,1
650,1552,17,031,640600,2
243,836,17,031,640700,1
275,784,17,031,640700,2
317,851,17,031,640700,3
285,827,17,031,640700,4
342,826,17,031,730700,1
544,1455,17,031,730700,2
260,674,17,031,740100,1
268,667,17,031,740100,3
495,1172,17,031,740100,4
671,1266,17,031,740200,1
466,1307,17,031,740200,2
477,1399,17,031,740200,3
564,1555,17,031,740200,4
413,990,17,031,740300,1
428,1219,17,031,740300,2
298,807,17,031,740300,3
310,877,17,031,740300,4
400,974,17,031,740300,5
358,898,17,031,740400,1
354,869,17,031,740400,2
981,2137,17,031,740400,3
301,791,17,031,740400,4
408,992,17,031,750100,1
330,748,17,031,750100,2
372,827,17,031,750100,3
473,1169,17,031,750100,4
291,688,17,031,750200,1
407,819,17,031,750200,2
265,678,17,031,750200,3
438,838,17,031,750200,4
265,745,17,031,750300,1
417,874,17,031,750300,2
318,851,17,031,750300,3
643,1479,17,031,750400,1
326,773,17,031,750400,2
275,644,17,031,750400,3
637,1365,17,031,750500,1
274,696,17,031,750500,2
791,1850,17,031,750500,3
478,1186,17,031,750500,4
461,1112,17,031,750600,1
324,786,17,031,750600,2
347,756,17,031,750600,3
316,751,17,031,750600,4
471,1301,17,031,802506,1
1013,2197,17,031,802505,4
787,1659,17,031,802505,5
584,1761,17,031,802505,6
333,966,17,031,802506,2
606,1468,17,031,802605,1
902,1470,17,031,802605,2
459,1306,17,031,802605,3
458,1340,17,031,802605,4
757,1418,17,031,802605,5
545,1536,17,031,802607,1
1083,1839,17,031,802608,1
1065,2652,17,031,802608,2
450,1157,17,031,802608,3
647,1061,17,031,802608,4
1033,2187,17,031,802609,1
240,847,17,031,802609,2
585,1236,17,031,802609,3
918,2020,17,031,802609,4
681,1744,17,031,802610,1
743,2177,17,031,802701,1
571,1633,17,031,802701,2
343,1006,17,031,802701,3
655,1860,17,031,802701,4
802,1743,17,031,802702,1
776,1995,17,031,802702,2
290,835,17,031,802702,3
424,1142,17,031,802801,1
531,1237,17,031,802801,2
319,896,17,031,802801,3
416,929,17,031,802801,4
302,837,17,031,802801,5
460,1352,17,031,802802,1
516,1478,17,031,802802,2
568,1582,17,031,802802,3
489,1317,17,031,802802,4
522,1238,17,031,802802,5
379,944,17,031,802900,1
609,1746,17,031,802900,2
713,1922,17,031,802900,3
243,481,17,031,670900,1
232,583,17,031,670700,2
293,644,17,031,670800,1
400,830,17,031,670800,2
343,691,17,031,670900,2
437,993,17,031,671100,1
446,980,17,031,671200,1
354,932,17,031,671300,1
246,611,17,031,671300,2
210,505,17,031,671300,3
304,831,17,031,671400,1
288,725,17,031,671400,2
269,568,17,031,671500,1
440,1229,17,031,671500,2
384,919,17,031,671500,3
372,702,17,031,671600,1
296,616,17,031,671600,2
226,486,17,031,671600,3
492,1142,17,031,671800,1
433,1122,17,031,671900,1
318,904,17,031,672000,1
310,816,17,031,672000,2
350,997,17,031,672000,3
251,675,17,031,672000,4
657,1307,17,031,680500,1
599,1165,17,031,680600,1
666,1112,17,031,680900,1
519,680,17,031,680900,2
405,786,17,031,680900,3
444,984,17,031,680900,4
259,443,17,031,681000,1
